,gain_type,depth,train_accuracy,test_accuracy
0,IG,1,0.6987,0.7029
1,IG,2,0.7778,0.7772
2,IG,3,0.8188,0.8033
3,IG,4,0.9179,0.8487
4,IG,5,0.973,0.9161
5,IG,6,1.0,0.9161
6,GI,1,0.6987,0.7029
7,GI,2,0.7778,0.7772
8,GI,3,0.8238,0.8157
9,GI,4,0.9109,0.8624
10,GI,5,0.973,0.9161
11,GI,6,1.0,0.9161
12,ME,1,0.6987,0.7029
13,ME,2,0.7077,0.6864
14,ME,3,0.8198,0.8074
15,ME,4,0.9139,0.8487
16,ME,5,0.971,0.9051
17,ME,6,1.0,0.9051
